page_id	title
62162	"Agreeable Flower" Automatic Pet Food Feeder
2335	API
9579	API Options
58174	A Bright Fluorite Fright
60141	A Maze of Moss
59297	A Startling Starry Idea
10546	A Stern Talking-To
51064	A Tangled Yarn
60657	A Voyage of Cosmic Concentration
58736	A Whirl with a Wind-Up Warrior
3725	Absurd Party Hat
40035	Accessibility
5569	Achievement
2083	Achievements
25036	Acronyms
38127	Adapting HabitRPG for ADHD
38130	Adapting HabitRPG for Anxiety and Depression
38132	Adapting HabitRPG for Passive-Aggressive Behavior
32200	Adapting Habitica for ADHD
36246	Adapting Habitica for Anxiety and Depression
42978	Adapting Habitica for Autism
36995	Adapting Habitica for Passive-Aggressive Behavior
52860	Advanced Options
5305	Advanced Settings for Tasks
43414	Advanced Tips for Challenge Creators
35204	Alarm Clock : Friend or Foe?
2570	All-In-One HabitRPG
51467	Android Pomodoro Integration
49610	Android app
15356	Anki Extension
59643	Anti-Potions
2591	Antidotes: Overcoming Obstacles
59372	Antonbury's Habitica Bot
16353	App and Extension Integrations
9578	Application Programming Interface
11739	April Fool's Day 2014
55341	April Fool's Day 2019
55349	April Fools
55348	April Fools' Day
11731	April Fools' Day 2014
35911	April Fools' Day 2015
48077	April Fools' Day 2016
48120	April Fools' Day 2017
54820	April Fools' Day 2018
55340	April Fools' Day 2019
57838	April Fools' Day 2020
59788	April Fools' Day 2021
61947	April Fools' Day 2022
2102	Armor
32018	Art Credits
50743	Assembling the a'Voidant
50692	Assembling the aVoidant
52598	Athelinde's Dark Habitica Style
63392	Attack of the Mundane
63403	Attack of the Mundane, Part 1: Dish Disaster!
63404	Attack of the Mundane, Part 2: The SnackLess Monster
63405	Attack of the Mundane, Part 3: The Laundromancer
5466	Attribute point
5467	Attribute points
21449	Audio
5468	Auto-allocation
62984	Auto Accept Quests
63106	Auto Archive Chats
62870	Auto Archive Group Data
62988	Auto Bulk Remove Habitica Emails
62574	Auto Cast Buffs
62986	Auto Cast Party Buff Skills
62983	Auto Cron
62985	Auto Force-Start Quests
